湖南常德外网IPTV,#genre#
CCTV1综合,http://hdtv.lzu6.edu.cn/hls/hls27.m3u8
CCTV1综合,http://hdtv.lzu6.edu.cn/hls/hls256.m3u8
CCTV1综合,http://hdtv.lzu6.edu.cn/hls/hls74a1.m3u8
CCTV2财经,http://hdtv.lzu6.edu.cn/hls/cctv2hd.m3u8
CCTV2财经,http://hdtv.lzu6.edu.cn/hls/jlu_cctv2hd.m3u8
CCTV2财经,http://hdtv.lzu6.edu.cn/hls/hls135.m3u8
CCTV3综艺,http://hdtv.lzu6.edu.cn/hls/cctv3hd.m3u8
CCTV3综艺,http://hdtv.lzu6.edu.cn/hls/jlu_cctv3.m3u8
CCTV4中文国际,http://hdtv.lzu6.edu.cn/hls/cctv4hd.m3u8
CCTV4中文国际,http://hdtv.lzu6.edu.cn/hls/hls4.m3u8
CCTV5体育,http://hdtv.lzu6.edu.cn/hls/cctv5hd.m3u8
CCTV5体育,http://hdtv.lzu6.edu.cn/hls/jlu_cctv5hd.m3u8
CCTV5体育,http://hdtv.lzu6.edu.cn/hls/hls73a5.m3u8
CCTV5体育,http://hdtv.lzu6.edu.cn/hls/hls257.m3u8
CCTV5+,http://hdtv.lzu6.edu.cn/hls/cctv5phd.m3u8
CCTV5+,http://hdtv.lzu6.edu.cn/hls/jlu_cctv5p.m3u8
CCTV5+,http://hdtv.lzu6.edu.cn/hls/hls92.m3u8
CCTV6电影,http://hdtv.lzu6.edu.cn/hls/cctv6hd.m3u8
CCTV6电影,http://hdtv.lzu6.edu.cn/hls/jlu_cctv6hd.m3u8
CCTV7国防军事,http://hdtv.lzu6.edu.cn/hls/cctv7hd.m3u8
CCTV7国防军事,http://hdtv.lzu6.edu.cn/hls/jlu_cctv7hd.m3u8
CCTV7国防军事,http://hdtv.lzu6.edu.cn/hls/hls136.m3u8
CCTV7国防军事,http://hdtv.lzu6.edu.cn/hls/hls73a8.m3u8
CCTV8电视剧,http://hdtv.lzu6.edu.cn/hls/cctv8hd.m3u8
CCTV8电视剧,http://hdtv.lzu6.edu.cn/hls/jlu_cctv8.m3u8
CCTV8电视剧,http://hdtv.lzu6.edu.cn/hls/hls72a9.m3u8
CCTV9纪录,http://hdtv.lzu6.edu.cn/hls/cctv9hd.m3u8
CCTV9纪录,http://hdtv.lzu6.edu.cn/hls/jlu_cctv9hd.m3u8
CCTV9纪录,http://hdtv.lzu6.edu.cn/hls/hls72a10.m3u8
CCTV9纪录,http://hdtv.lzu6.edu.cn/hls/hls137.m3u8
CCTV10科教,http://hdtv.lzu6.edu.cn/hls/cctv10hd.m3u8
CCTV10科教,http://hdtv.lzu6.edu.cn/hls/jlu_cctv10hd.m3u8
CCTV10科教,http://hdtv.lzu6.edu.cn/hls/hls138.m3u8
CCTV10科教,http://hdtv.lzu6.edu.cn/hls/hls72a11.m3u8
CCTV11戏曲,http://hdtv.lzu6.edu.cn/hls/jlu_cctv11hd.m3u8
CCTV11戏曲,http://hdtv.lzu6.edu.cn/hls/hls186a11.m3u8
CCTV12社会与法,http://hdtv.lzu6.edu.cn/hls/cctv12hd.m3u8
CCTV12社会与法,http://hdtv.lzu6.edu.cn/hls/jlu_cctv12hd.m3u8
CCTV12社会与法,http://hdtv.lzu6.edu.cn/hls/hls72a12.m3u8
CCTV12社会与法,http://hdtv.lzu6.edu.cn/hls/hls139.m3u8
CCTV13新闻,http://hdtv.lzu6.edu.cn/hls/cctv13hd.m3u8
CCTV13新闻,http://hdtv.lzu6.edu.cn/hls/jlu_cctv13.m3u8
CCTV13新闻,http://hdtv.lzu6.edu.cn/hls/hls258.m3u8
CCTV14少儿,http://hdtv.lzu6.edu.cn/hls/cctv14hd.m3u8
CCTV14少儿,http://hdtv.lzu6.edu.cn/hls/jlu_cctv14hd.m3u8
CCTV14少儿,http://hdtv.lzu6.edu.cn/hls/hls140.m3u8
CCTV15音乐,http://hdtv.lzu6.edu.cn/hls/jlu_cctv15hd.m3u8
CCTV17农业农村,http://hdtv.lzu6.edu.cn/hls/cctv17hd.m3u8
CCTV17农业农村,http://hdtv.lzu6.edu.cn/hls/jlu_cctv17.m3u8
CCTV世界地理,http://hdtv.lzu6.edu.cn/hls/hls184a515.m3u8
CCTV第一剧场,http://hdtv.lzu6.edu.cn/hls/hls184a512.m3u8
CCTV风云足球,http://hdtv.lzu6.edu.cn/hls/hls184a510.m3u8
CCTV风云剧场,http://hdtv.lzu6.edu.cn/hls/hls184a516.m3u8
CCTV风云音乐,http://hdtv.lzu6.edu.cn/hls/hls184a519.m3u8
CCTV怀旧剧场,http://hdtv.lzu6.edu.cn/hls/hls184a518.m3u8
CCTV兵器科技,http://hdtv.lzu6.edu.cn/hls/hls184a573.m3u8
CCTV女性时尚,http://hdtv.lzu6.edu.cn/hls/hls184a522.m3u8
CCTV电视指南,http://hdtv.lzu6.edu.cn/hls/hls186a88.m3u8
CHC高清电影,http://hdtv.lzu6.edu.cn/hls/hls260.m3u8
CHC高清电影,http://hdtv.lzu6.edu.cn/hls/chchd.m3u8
CHC家庭影院,http://hdtv.lzu6.edu.cn/hls/hls259.m3u8
CHC动作电影,http://hdtv.lzu6.edu.cn/hls/hls261.m3u8
湖南卫视,http://hdtv.lzu6.edu.cn/hls/hunanhd.m3u8
